pac_nome,pac_tensao_kv,conjuntos_usinas,usinas_cadastro,pot_mw,eng_gwh,grafias
SECC. LT ACU 3 – JOAO CAMARA 3,500.0,2,24,550.2,953.563,LT 500 KV AÇÚ III – JOÃO CÂMARA III | SECCIONAMENTO LT 500 KV AÇU III - JOÃO CÂMARA | SECCIONAMENTO LT 500 KV AÇÚ III - JOÃO CÂMARA | SECCIONAMENTO LT 500 KV AÇÚ III – JOÃO CÂMARA | Seccionamento LT 500 kV Açú III - João Câmara
PARACATU 4,138.0,3,34,1356.3,950.371,"SE PARACATU 4 138,0 kV | SE Paracatu 4 138 kV | SE Paracatu 4 500 kV"
MOSSORO 2,230.0,6,35,988.27,867.434,"SE 230 kV Mossoró II  | SE MOSSORO II 230,0 kV"
SOL DO SERTAO,500.0,1,10,426.0,799.322,"SE SOL DO SERTAO 500,0 kV | SE SOL DO SERTÃO 500 kV"
GILBUES 2,500.0,3,36,1407.792,736.392,"SE 500 kV Gilbués II | SE 500 kV Gilbués II  | SE GILBUES II 500,0 kV"
IGAPORA 2 ICG,230.0,4,15,355.0,724.033,SE 230 kV Igaporã II - ICG | SE 230 kV Igaporã II - ICG  | SE 69 kV Igaporã II - ICG 
PIRAPORA 2,138.0,2,21,795.6,703.199,SE 138 kV Pirapora 2  | SE PIRAPORA 2 345 KV
SECC. LT BOM JESUS DA LAPA 2 – GENTIO DO OURO 2,500.0,1,8,387.784,701.892,SEC LT 500 KV BOM JESUS DA LAPA II – GENTIO D | SEC. LT 500 KV BOM JESUS DA LAPA II - GENTIO | SECC LT DE 500 KV BOM JESUS DA LAPA II – GENT | SECC LT DE 500 KV BOM JESUS DA LAPA II – GENTIO DO OURO II
ACU 2,230.0,5,10,380.64,666.86,"SE ACU II 138,0 kV | SE ACU II 230,0 kV | SE Açu II 230 kV"
BARREIRAS 2,500.0,1,7,350.0,635.217,SE BARREIRAS II 500 KV
SOBRAL 3,230.0,5,11,343.8,631.341,"SE 230 kV Sobral III  | SE SOBRAL III 230,0 kV | SE SOBRAL III 230kV | SE Sobral III  230 kV"
RUSSAS 2,230.0,5,18,568.426,605.64,"SE 230 kV Russas II | SE 230 kV Russas II  | SE RUSSAS II 230,0 kV"
SECC. LT JUAZEIRO 3 – SOBRADINHO,500.0,1,22,692.435,590.255,SECC LT SOBRADINHO/JUAZEIRO DA BAHIA III C1 | SECC. LT 500 KV U. SOBRADINHO - JUAZEIRO III | SECCIONAMENTO C1 DA LT 500 KV SOBRADINHO –JUA | SECCIONAMENTO DA LT 500 KV SOBRADINHO – JUAZE | SECCIONAMENTO LT 500 KV U. SOBRADINHO- JUAZEI | SECCIONAMENTO LT 500 KV U.SOBRADINHO / JUAZEI
JOAO CAMARA 3 ICG,138.0,4,17,289.6,553.968,SE 138 kV João Câmara III - ICG | SE 138 kV João Câmara III - ICG 
SECC. LT P – VARZEA DA PALMA 1,345.0,1,10,500.0,538.06,SECCIONAMENTO LT 345 KV VÁRZEA DA PALMA 1 – P | Seccionamento LT 345 kV Várzea da Palma 1 – P
ACARAU 2,230.0,3,13,322.0,497.527,"SE 230 kV Acaraú II  | SE 69 kV Acaraú II  | SE ACARAU II 230,0 kV"
TABOCAS DO BREJO VELHO,230.0,2,10,275.8,490.668,"SE TABOCAS DO BREJO VELHO 230,0 kV"
SENHOR DO BONFIM 2,230.0,2,12,495.6,472.106,"SE 230 kV Senhor do Bonfim II | SE SENHOR DO BONFIM II 230,0 kV"
SECC. LT IBIAPINA 2 – PIRIPIRI,230.0,1,12,360.0,426.335,Seccionamento LT 230 kV Ibiapina II – Piripir
JUAZEIRO 2,230.0,4,24,764.14,417.713,SE 230 kV Juazeiro da Bahia II  | SE JUAZEIRO DA BAHIA II 230 KV
PINDAI 2,230.0,4,29,453.85,412.871,"SE 230 kV Pindaí II | SE PINDAI II 230,0 kV"
SOBRADINHO,230.0,3,19,577.595,394.379,"SE 230 KV SOBRADINHO | SE 230 kV Sobradinho  | SE SOBRADINHO 230,0 kV | SE SOBRADINHO 500,0 kV"
MOSSORO 4,230.0,4,15,456.82,375.46,"SE 230 kV Mossoró IV | SE 230 kV Mossoró IV  | SE MOSSORO IV 230,0 kV | SE MOSSORÓ IV 230 KV | SE Mossoró IV 230kV"
GARANHUNS 2,230.0,2,16,468.47,371.092,"SE 230 kV Garanhuns II  | SE GARANHUNS II 230,0 kV | SE Garanhuns II 230 kV"
IRECE,138.0,2,15,436.4,362.968,"SE 230 kV Irecê | SE 230 kV Irecê  | SE IRECE 138,0 kV | SE IRECE 230,0 kV"
