descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
CONTROLE DE CARREGAMENTO DA LT JALES - VOTUPORANGA 2 C1 E C2,Controle de inequação,LT Jales - Votuporanga 2 C1 e C2,,local,eletrica,local/sistemica,SE,eletrica,local,0.2566,1,1,22
"Controle de inequação: F(TR9 TRI) + 0,51 F(TR10 TRI) - 0,45 SEP < 350 MW SEP = Geração nas UFVs Novo Oriente IV e VI - IO-ON.SE.4SP",Controle de inequação,SE .4SP,,local,confiabilidade,local,SE,confiabilidade,local,0.2513,1,2,40
Controle da inequação: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 800 MW,Controle de inequação,,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,0.2483,2,1,16
Desligamento automático do barramento 04B2 da SE Touros. (60.894-25 em execução no momento),outro,SE Touros. (60.894-25 em execução no momento),,outro,eletrica,local,NE,eletrica,local,0.2373,2,1,6
Controle de inequação: SUB BOM JESUS DA LAPA BA - LT 230 kV B.JESUS LAPA / BROTAS.MACAUBAS C F5 BA (04F5),Controle de inequação,Sub Bom Jesus da Lapa BA - LT 230 kV B.JESUS Lapa / BROTAS.MACAUBAS C F5 BA (04F5),230.0,local,eletrica,local,NE,eletrica,local,0.236,2,1,12
Controle de inequação: CJ UFV Sol do Cerrado + CJ UFV Jaiba V < 280 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.2279,2,1,6
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT JALES - VOTUPORANGA 2 C1 E C2,Controle de inequação,LT Jales - Votuporanga 2 C1 e C2,,local,eletrica,local/sistemica,SE,eletrica,sistemica,0.2128,1,1,20
"Controle da inequação 1.2.1, conforme recomendação do",Controle de inequação,,,outro,eletrica,sistemica,NE,eletrica,sistemica,0.2023,1,1,2
"Controle de inequação: P(TR-9 138/440 kV TRI) + 0,53 P(TR-10 138/440 kV TRI) - 0,49 P(UFV IV + UFV VI NOS) < 350 MW",Controle de inequação,TR -9 138/440 kV Tri) + 0,138.0,local,eletrica,local,SE,eletrica,local,0.202,1,1,13
Controle de inequação: LT 230 kV MILAGRES / TAUA II C M4 CE (04M4),Controle de inequação,LT 230 kV Milagres / Taua II C M4 CE (04M4),230.0,local,eletrica,local/sistemica,NE,eletrica,local,0.1886,3,1,45
"Controle de inequação: CONTROLE DE CARREGAMENTO DAS LTS 230 KV SOBRADINHO / JUAZEIRO DA BAHIA II – C1(S1) E C2(S2), PREVENINDO A PERDA DA LT 500 KV SOBRADINHO / FUTURA – C1(C3) - IO-ON.NE.2SO",Controle de inequação,LTS 230 kV Sobradinho / Juazeiro da Bahia II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.1885,2,2,8
"Desligamento automático, conforme SIPER N° 7748/2025",outro,,,outro,eletrica,local,NE,eletrica,local,0.1858,1,1,2
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV CHAPADA I / CURRAL NOVO DO PIAUÍ II – C1(L3)PARA CONTINGÊNCIA DA LT 230 KV CHAPADA III / CURRAL NOVO DO PIAUÍ II- C1(L2) - IO-ON.NE.2OE,Controle de inequação,LT 230 kV Chapada I / Curral Novo do Piauí II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.1798,1,1,5
Desligamento da LT 525 kV Povo Novo / Marmeleiro 2 C2,outro,LT 525 kV Povo Novo / Marmeleiro 2 C2,525.0,outro,eletrica,local,S,eletrica,local,0.1763,2,1,10
Controle de geração para Conjunto Fotovoltaico Arinos 2,outro,,,outro,eletrica,sistemica,SE,eletrica,sistemica,0.1445,1,1,3
Controle de inequação: F(BAR-REG CN2) < 1214 MW,Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.1443,1,1,2
Limitação da Transmissão na LT 500 kV Jaguaruana II / Pacatuba – C1(L1),Limitação da transmissão,LT 500 kV Jaguaruana II / Pacatuba,500.0,local,confiabilidade,local,NE,confiabilidade,local,0.1437,8,1,8
Atuação do SEP 5.255.02 - Esquema de corte de geração na SE Açu III - Perda de LT,Esquema,SE Açu III - Perda de LT,,local,eletrica,local,NE,eletrica,local,0.1373,2,1,4
Controle do fluxo FNESE,Controle do fluxo,FNESE,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,0.1287,1,1,2
"Controle de inequação: CONTROLE DE CARREGAMENTO NA TRANSFORMAÇÃO 500/345/13,8 KV - 750 MVA DA SE IBIÚNA - IO.ON.SSE",Controle de inequação,Transformação 500/345/13,,local,confiabilidade,local/sistemica,S,confiabilidade,sistemica,0.1284,13,1,39
Controle da Inequação: [CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS RADIALIZADA],Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,sistemica,NE,confiabilidade,sistemica,0.1236,1,1,11
Controle da inequação: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,0.1162,3,1,9
